,indice,Id_producto,title,family_id,brand,origin,season,color,hexadecimal,top_type,adventurous,weather,print,style,fit,application,Nivel
597,597,287e0a4c-ba00-4b4b-9fc0-8320619e5eb9,Bona Jeans colors ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND106,WHOLE_SALE,9,taupe,9A8176,,2,warm_season,smooth,street,tight,work,1
598,598,4dfbf9ad-f672-4c76-adae-e3358cb515e9,Vilucy Shirt noos ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND55,MAINSTREAM,9,khaki,666633,blouse,2,warm_season,smooth,classic,straight,work,2
599,599,4847ed7d-caa0-455f-be62-2cab7f73f743,Estats Jeans skinny ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND172,PREMIUM,9,blue_light,87CEFA,,2,warm_season,smooth,street,tight,work,1
600,600,d4381ae4-09c8-4b1b-9ce9-e03e43e2b2ae,Tropical Top nude,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND133,OWN_PRODUCTION,9,black,000000,tops,2,warm,sheets,boho,straight,freetime,2
601,601,66e6ee51-72e8-443a-ad2c-7392e9253304,Onlelaine Playsuit bot ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND119,MAINSTREAM,9,blue_light,87CEFA,,2,warm,smooth,street,loose,freetime,1
602,602,45fadfcb-8d09-42fc-87ac-21d001f4a455,York Jeans slimfit ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND83,MAINSTREAM,9,taupe,9A8176,,2,cold_season,smooth,street,tight,work,1
603,603,323edbf2-b504-4567-9675-f53cab2377fb,Mood Tshirt letters ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND117,NO_MAINSTREAM,9,white,FFFFFF,t-shirts,2,warm_season,smooth,street,straight,freetime,2
604,604,35931275-bb91-41f7-8fe8-727909a9d8e2,Hannah Tshirt knit ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND8,NO_MAINSTREAM,9,mustand,DEB24C,t-shirts,1,warm,smooth,casual,tight,freetime,2
605,605,f36ba3bc-586e-4ff7-8e9c-cef201719a5d,Caraugusta Jeans noos ,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND39,MAINSTREAM,9,white,FFFFFF,,3,warm_season,smooth,classic,tight,freetime,1
606,606,0ce13409-dd8c-4070-a9c4-b7a1fd85ccb9,Geom Shirt noogat ,c59807ac-0362-4078-94b0-37ea3df6cdd0,BRAND72,WHOLE_SALE,9,pink,FFC0CB,blouse,3,warm_season,geometric,boho,straight,freetime,2
607,607,982512f0-9641-4f95-848c-b676cd8fe06b,Benina Pant fit ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND90,MAINSTREAM,9,brown_light,A57E62,,2,cold_season,smooth,classic,straight,work,1
608,608,fe45050d-1e6d-4fd1-bebc-88fb51a1fd36,Florida Trench sof ,07bee010-39f3-4200-9250-c1524842e6a6,BRAND116,WHOLE_SALE,9,black,000000,,2,cold_season,smooth,classic,straight,work,3
609,609,a742cbea-05d1-4468-a461-b9548d349609,Softy Trench boom ,07bee010-39f3-4200-9250-c1524842e6a6,BRAND116,WHOLE_SALE,9,beige,DFC8B2,,1,cold_season,smooth,classic,straight,work,3
610,610,f8abdd54-68a4-4c7c-a9ca-73390630c546,Fashion T-shirt collection ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND9,NO_MAINSTREAM,9,blue_dark,00008b,t-shirts,2,warm,horizontal_stripes,street,loose,work,2
611,611,ca856776-a5bc-49c5-af9f-064e2e50d4a8,Martb Tshirt sparkle ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND112,NO_MAINSTREAM,9,white,FFFFFF,t-shirts,3,warm,smooth,casual,straight,work,2
612,612,092f3264-e068-46ea-9387-cae1552d493e,Lity Jacket tiffosi,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND19,MAINSTREAM,9,khaki,666633,,2,cold_season,smooth,casual,straight,freetime,3
613,613,4de7108a-68fa-44e2-9551-db440d6bb14a,Ante Skirt buttons ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND25,WHOLE_SALE,9,camel,C19A6B,,2,cold_season,smooth,boho,straight,freetime,1
614,614,4de7108a-68fa-44e2-9551-db440d6bb14a,Ante Skirt buttons ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND25,WHOLE_SALE,9,blue_dark,00008b,,2,cold_season,smooth,boho,straight,freetime,1
615,615,0826dca6-36cf-4ec3-980a-7c1ac814741b,Pcaine Top strap ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND142,MAINSTREAM,9,mandarine,faaa6e,tops,2,warm,smooth,boho,straight,freetime,2
616,616,add90bab-30cc-4f85-ad93-d0fa82801995,Poly Pant cherry ,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND117,NO_MAINSTREAM,9,fuchsia,FF00A8,,2,warm_season,smooth,casual,tight,work,1
617,617,970cd885-7578-4a08-b3eb-c1c86884c53a,Logo Tshirt off ,95f835a3-03fe-40f1-a813-4fbfd2842845,BRAND172,PREMIUM,9,red,B11730,t-shirts,3,warm,smooth,casual,straight,freetime,2
618,618,468e0495-433e-454f-9b75-427982a4c5c8,Tube Skirt leather ,2514d6c8-11e6-4692-87b4-dcc1cd18592c,BRAND32,OWN_PRODUCTION,9,black,000000,,3,cold,smooth,boho,tight,freetime,1
619,619,ed433d8c-6bf4-4f3c-80f8-631fabc2316d,Suana Jumpsuit floral ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND112,NO_MAINSTREAM,9,blue_dark,00008b,,3,warm,floral,street,straight,work,1
620,620,ed433d8c-6bf4-4f3c-80f8-631fabc2316d,Suana Jumpsuit floral ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND112,NO_MAINSTREAM,9,rust,B94600,,3,warm,floral,street,straight,work,1
621,621,2319dad6-dce6-44c2-b340-bffe29478e67,Kora Jeans skinny,6598b655-3e19-448c-8b4f-ff6a29447b34,BRAND132,NO_MAINSTREAM,9,white,FFFFFF,,2,cold_season,smooth,classic,tight,freetime,1
622,622,a310d8bf-528e-4985-ac22-12896505c17c,Charls Pant jcz,1dc55e58-a5c3-462c-b73d-8dd480de90fc,BRAND60,WHOLE_SALE,9,brown,462C0E,,3,cold_season,smooth,classic,straight,work,1
623,623,7df5c131-4c17-47da-85b1-38e138226e04,Ihgusto Jacket denim ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND89,MAINSTREAM,9,yellow,FFFF00,,1,warm,smooth,classic,straight,freetime,3
624,624,735761e6-8f79-43c9-8279-a7af97fe00eb,Vilucy Tshirt fav ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND55,MAINSTREAM,9,pink,FFC0CB,tops,2,warm_season,smooth,classic,straight,freetime,2
625,625,c5f64def-33c9-4f98-9920-1921e24c201a,Eris Playsuit button ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND112,NO_MAINSTREAM,9,brick,8e1d03,,3,warm,vertical_stripes,boho,straight,freetime,1
626,626,9c10d32f-4bba-4e18-989c-01172245a814,Zawov Top antique ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND35,MAINSTREAM,9,black,000000,tops,2,warm,smooth,classic,straight,work,2
627,627,1735d199-d25f-4c35-a527-a712cc3f0808,Pcana Jacket suede ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND142,MAINSTREAM,9,yellow_light,fdf7b2,,3,cold_season,smooth,street,tight,work,3
628,628,1735d199-d25f-4c35-a527-a712cc3f0808,Pcana Jacket suede ,c6b81db8-29ed-43d6-b14d-0fd913d7ce36,BRAND142,MAINSTREAM,9,brown,462C0E,,3,cold_season,smooth,street,tight,work,3
629,629,fc958f65-d737-4353-91c4-85e917e7e5c9,Nmnathalie Playsuit belt ,88ee8b83-a7fe-4c00-8f12-621b209012fd,BRAND40,NO_MAINSTREAM,9,brick,8e1d03,,3,warm,smooth,street,loose,freetime,1
630,630,fd183461-0e9d-4082-9ed8-abeb2fc6eb19,Shibrahi Top knit ,39792668-5cfd-42c2-8872-ad776e9bad70,BRAND163,NO_MAINSTREAM,9,blue_dark,00008b,tops,2,warm_season,smooth,boho,tight,work,2
